=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 3/4/2021 8:05:08 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
0.) c. Switch to left pointer,2.97,n/a,n/a,n/a
0.) d. Switch to right pointer,3.6,n/a,n/a,n/a
